
HM software: Encoder Version [16.2] (including RExt)[Mac OS X][GCC 4.2.1][64 bit] 


Input          File               : /Users/grellert/origCfP/cropped/PartyScene_832x448_50.yuv
Bitstream      File               : str.bin
Reconstruction File               : rec.yuv
Real     Format                   : 832x448 50Hz
Internal Format                   : 832x448 50Hz
Sequence PSNR output              : Linear average only
Sequence MSE output               : Disabled
Frame MSE output                  : Disabled
Cabac-zero-word-padding           : Disabled
Frame/Field                       : Frame based coding
Frame index                       : 0 - 127 (128 frames)
Profile                           : main
CU size / depth                   : 64 / 4
RQT trans. size (min / max)       : 4 / 32
Max RQT depth inter               : 3
Max RQT depth intra               : 3
Min PCM size                      : 8
Motion search range               : 64
Intra period                      : -1
Decoding refresh type             : 0
QP                                : 27.00
Max dQP signaling depth           : 0
FME                               : 2
Cb QP Offset                      : 0
Cr QP Offset                      : 0
Max CU chroma QP adjustment depth : -1
QP adaptation                     : 0 (range=0)
GOP size                          : 4
Input bit depth                   : (Y:8, C:8)
MSB-extended bit depth            : (Y:8, C:8)
Internal bit depth                : (Y:8, C:8)
PCM sample bit depth              : (Y:8, C:8)
Extended precision processing     : Disabled
Intra reference smoothing         : Enabled
Implicit residual DPCM            : Disabled
Explicit residual DPCM            : Disabled
Residual rotation                 : Disabled
Single significance map context   : Disabled
Cross-component prediction        : Disabled
High-precision prediction weight  : Disabled
Golomb-Rice parameter adaptation  : Disabled
CABAC bypass bit alignment        : Disabled
Sao Luma Offset bit shifts        : 0
Sao Chroma Offset bit shifts      : 0
Cost function:                    : Lossy coding (default)
RateControl                       : 0
Max Num Merge Candidates          : 5

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 SQP:0 ASR:0 FEN:1 ECU:0 FDM:1 CFM:0 ESD:0 RQT:1 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:2 Slice: M=0 SliceSegment: M=0 CIP:0 SAO:1 PCM:0 TransQuantBypassEnabled:0 WPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1 AQpS:0 SignBitHidingFlag:1 RecalQP:0

Non-environment-variable-controlled macros set as follows: 

                                RExt__DECODER_DEBUG_BIT_STATISTICS =   0
                                      RExt__HIGH_BIT_DEPTH_SUPPORT =   0
                            RExt__HIGH_PRECISION_FORWARD_TRANSFORM =   0
                                        O0043_BEST_EFFORT_DECODING =   0
                              RD_TEST_SAO_DISABLE_AT_PICTURE_LEVEL =   0

                   Input ChromaFormatIDC =   4:2:0
       Output (internal) ChromaFormatIDC =   4:2:0

POC    0 TId: 0 ( I-SLICE, nQP 27 QP 27 )     627152 bits [Y 36.9303 dB    U 38.8636 dB    V 39.2862 dB] [ET  3.54 ] [L0 ] [L1 ]
POC    1 TId: 0 ( P-SLICE, nQP 30 QP 30 )        128 bits [Y 36.9303 dB    U 38.8636 dB    V 39.2862 dB] [ET  2.08 ] [L0 0 ] [L1 ]
POC    2 TId: 0 ( P-SLICE, nQP 29 QP 29 )        128 bits [Y 36.9303 dB    U 38.8636 dB    V 39.2862 dB] [ET  2.74 ] [L0 1 0 ] [L1 ]
POC   19 TId: 0 ( P-SLICE, nQP 30 QP 30 )      72240 bits [Y 32.5715 dB    U 37.5420 dB    V 37.6303 dB] [ET  7.08 ] [L0 18 16 12 ] [L1 ]
POC   20 TId: 0 ( P-SLICE, nQP 28 QP 28 )     231712 bits [Y 35.5789 dB    U 38.3624 dB    V 38.5783 dB] [ET 10.84 ] [L0 19 16 12 ] [L1 ]
POC   21 TId: 0 ( P-SLICE, nQP 30 QP 30 )      60272 bits [Y 33.2230 dB    U 37.9235 dB    V 38.1044 dB] [ET  6.59 ] [L0 20 16 12 ] [L1 ]
POC   22 TId: 0 ( P-SLICE, nQP 29 QP 29 )      90744 bits [Y 33.3851 dB    U 37.7604 dB    V 37.8666 dB] [ET  7.50 ] [L0 21 20 16 ] [L1 ]
POC   23 TId: 0 ( P-SLICE, nQP 30 QP 30 )      69336 bits [Y 32.7509 dB    U 37.5706 dB    V 37.7351 dB] [ET  6.94 ] [L0 22 20 16 ] [L1 ]
POC   24 TId: 0 ( P-SLICE, nQP 28 QP 28 )     220232 bits [Y 35.6520 dB    U 38.4007 dB    V 38.7248 dB] [ET 10.75 ] [L0 23 20 16 ] [L1 ]
POC   25 TId: 0 ( P-SLICE, nQP 30 QP 30 )      57440 bits [Y 33.3296 dB    U 37.9194 dB    V 38.1529 dB] [ET  6.62 ] [L0 24 20 16 ] [L1 ]
POC   26 TId: 0 ( P-SLICE, nQP 29 QP 29 )      86584 bits [Y 33.4676 dB    U 37.7441 dB    V 37.9889 dB] [ET  7.53 ] [L0 25 24 20 ] [L1 ]
POC   27 TId: 0 ( P-SLICE, nQP 30 QP 30 )      66264 bits [Y 32.8208 dB    U 37.5884 dB    V 37.8821 dB] [ET  7.02 ] [L0 26 24 20 ] [L1 ]
POC   28 TId: 0 ( P-SLICE, nQP 28 QP 28 )     217568 bits [Y 35.7482 dB    U 38.4273 dB    V 38.7939 dB] [ET 10.78 ] [L0 27 24 20 ] [L1 ]
POC   29 TId: 0 ( P-SLICE, nQP 30 QP 30 )      56592 bits [Y 33.4153 dB    U 37.9771 dB    V 38.1522 dB] [ET  6.66 ] [L0 28 24 20 ] [L1 ]
POC   30 TId: 0 ( P-SLICE, nQP 29 QP 29 )      80432 bits [Y 33.5492 dB    U 37.7924 dB    V 38.0150 dB] [ET  7.51 ] [L0 29 28 24 ] [L1 ]
POC   31 TId: 0 ( P-SLICE, nQP 30 QP 30 )      58040 bits [Y 33.0551 dB    U 37.6524 dB    V 37.8991 dB] [ET  6.94 ] [L0 30 28 24 ] [L1 ]
POC   32 TId: 0 ( P-SLICE, nQP 28 QP 28 )     198376 bits [Y 35.8345 dB    U 38.5263 dB    V 38.9187 dB] [ET 10.67 ] [L0 31 28 24 ] [L1 ]
POC   33 TId: 0 ( P-SLICE, nQP 30 QP 30 )      44600 bits [Y 33.6155 dB    U 38.0069 dB    V 38.3822 dB] [ET  6.51 ] [L0 32 28 24 ] [L1 ]
POC   34 TId: 0 ( P-SLICE, nQP 29 QP 29 )      64224 bits [Y 33.6463 dB    U 37.7641 dB    V 38.2308 dB] [ET  7.55 ] [L0 33 32 28 ] [L1 ]
POC   35 TId: 0 ( P-SLICE, nQP 30 QP 30 )      44056 bits [Y 33.1252 dB    U 37.5984 dB    V 37.9890 dB] [ET  6.80 ] [L0 34 32 28 ] [L1 ]
POC   36 TId: 0 ( P-SLICE, nQP 28 QP 28 )     175120 bits [Y 35.8689 dB    U 38.5882 dB    V 39.0653 dB] [ET 10.52 ] [L0 35 32 28 ] [L1 ]
POC   37 TId: 0 ( P-SLICE, nQP 30 QP 30 )      32000 bits [Y 33.8186 dB    U 37.8153 dB    V 38.6658 dB] [ET  6.54 ] [L0 36 32 28 ] [L1 ]
POC   38 TId: 0 ( P-SLICE, nQP 29 QP 29 )      50064 bits [Y 33.9034 dB    U 37.9035 dB    V 38.5738 dB] [ET  7.07 ] [L0 37 36 32 ] [L1 ]
POC   39 TId: 0 ( P-SLICE, nQP 30 QP 30 )      36168 bits [Y 33.3920 dB    U 37.8232 dB    V 38.5062 dB] [ET  6.24 ] [L0 38 36 32 ] [L1 ]
POC   40 TId: 0 ( P-SLICE, nQP 28 QP 28 )     161864 bits [Y 35.9342 dB    U 38.7510 dB    V 39.3027 dB] [ET 10.25 ] [L0 39 36 32 ] [L1 ]
POC   41 TId: 0 ( P-SLICE, nQP 30 QP 30 )      28048 bits [Y 33.9742 dB    U 38.4289 dB    V 38.8501 dB] [ET  5.92 ] [L0 40 36 32 ] [L1 ]
POC   42 TId: 0 ( P-SLICE, nQP 29 QP 29 )      44848 bits [Y 33.9409 dB    U 38.2786 dB    V 38.7400 dB] [ET  6.79 ] [L0 41 40 36 ] [L1 ]
POC   43 TId: 0 ( P-SLICE, nQP 30 QP 30 )      33512 bits [Y 33.4590 dB    U 38.1742 dB    V 38.6224 dB] [ET  6.08 ] [L0 42 40 36 ] [L1 ]
POC   44 TId: 0 ( P-SLICE, nQP 28 QP 28 )     155824 bits [Y 35.8891 dB    U 38.7820 dB    V 39.3081 dB] [ET 10.13 ] [L0 43 40 36 ] [L1 ]
POC   45 TId: 0 ( P-SLICE, nQP 30 QP 30 )      32400 bits [Y 33.9408 dB    U 38.3663 dB    V 38.7653 dB] [ET  5.93 ] [L0 44 40 36 ] [L1 ]
POC   46 TId: 0 ( P-SLICE, nQP 29 QP 29 )      52256 bits [Y 33.8782 dB    U 38.1917 dB    V 38.5604 dB] [ET  6.85 ] [L0 45 44 40 ] [L1 ]
POC   47 TId: 0 ( P-SLICE, nQP 30 QP 30 )      43352 bits [Y 33.3616 dB    U 37.9975 dB    V 38.3872 dB] [ET  6.34 ] [L0 46 44 40 ] [L1 ]
POC   48 TId: 0 ( P-SLICE, nQP 28 QP 28 )     171888 bits [Y 35.7877 dB    U 38.6835 dB    V 39.1172 dB] [ET 10.24 ] [L0 47 44 40 ] [L1 ]
POC   49 TId: 0 ( P-SLICE, nQP 30 QP 30 )      42920 bits [Y 33.6596 dB    U 38.2249 dB    V 38.5310 dB] [ET  6.09 ] [L0 48 44 40 ] [L1 ]
POC   50 TId: 0 ( P-SLICE, nQP 29 QP 29 )      64480 bits [Y 33.6514 dB    U 38.0059 dB    V 38.2128 dB] [ET  7.12 ] [L0 49 48 44 ] [L1 ]
POC   51 TId: 0 ( P-SLICE, nQP 30 QP 30 )      51904 bits [Y 33.0578 dB    U 37.7649 dB    V 37.9158 dB] [ET  6.56 ] [L0 50 48 44 ] [L1 ]
POC   52 TId: 0 ( P-SLICE, nQP 28 QP 28 )     195728 bits [Y 35.6577 dB    U 38.4202 dB    V 38.8130 dB] [ET 10.52 ] [L0 51 48 44 ] [L1 ]
POC   53 TId: 0 ( P-SLICE, nQP 30 QP 30 )      47320 bits [Y 33.4005 dB    U 38.0308 dB    V 38.2435 dB] [ET  6.27 ] [L0 52 48 44 ] [L1 ]
POC   54 TId: 0 ( P-SLICE, nQP 29 QP 29 )      73808 bits [Y 33.4847 dB    U 37.8656 dB    V 38.1075 dB] [ET  7.26 ] [L0 53 52 48 ] [L1 ]
POC   55 TId: 0 ( P-SLICE, nQP 30 QP 30 )      53312 bits [Y 32.9092 dB    U 37.7481 dB    V 37.9499 dB] [ET  6.63 ] [L0 54 52 48 ] [L1 ]
POC   56 TId: 0 ( P-SLICE, nQP 28 QP 28 )     197160 bits [Y 35.6209 dB    U 38.5056 dB    V 38.8425 dB] [ET 10.56 ] [L0 55 52 48 ] [L1 ]
POC   57 TId: 0 ( P-SLICE, nQP 30 QP 30 )      43768 bits [Y 33.4452 dB    U 38.1846 dB    V 38.3629 dB] [ET  6.12 ] [L0 56 52 48 ] [L1 ]
POC   58 TId: 0 ( P-SLICE, nQP 29 QP 29 )      65656 bits [Y 33.5041 dB    U 37.9754 dB    V 38.2447 dB] [ET  7.07 ] [L0 57 56 52 ] [L1 ]
POC   59 TId: 0 ( P-SLICE, nQP 30 QP 30 )      52072 bits [Y 32.9588 dB    U 37.8964 dB    V 38.0849 dB] [ET  6.44 ] [L0 58 56 52 ] [L1 ]
POC   60 TId: 0 ( P-SLICE, nQP 28 QP 28 )     195016 bits [Y 35.6277 dB    U 38.4613 dB    V 38.7644 dB] [ET 10.38 ] [L0 59 56 52 ] [L1 ]
POC   61 TId: 0 ( P-SLICE, nQP 30 QP 30 )      45704 bits [Y 33.3827 dB    U 38.1416 dB    V 38.2591 dB] [ET  6.13 ] [L0 60 56 52 ] [L1 ]
POC   62 TId: 0 ( P-SLICE, nQP 29 QP 29 )      72320 bits [Y 33.5059 dB    U 37.9784 dB    V 37.9548 dB] [ET  7.26 ] [L0 61 60 56 ] [L1 ]
POC   63 TId: 0 ( P-SLICE, nQP 30 QP 30 )      54664 bits [Y 32.9211 dB    U 37.8389 dB    V 37.8942 dB] [ET  6.54 ] [L0 62 60 56 ] [L1 ]
POC   64 TId: 0 ( P-SLICE, nQP 28 QP 28 )     198976 bits [Y 35.6408 dB    U 38.4690 dB    V 38.7971 dB] [ET 10.43 ] [L0 63 60 56 ] [L1 ]
POC   65 TId: 0 ( P-SLICE, nQP 30 QP 30 )      44704 bits [Y 33.4058 dB    U 38.0211 dB    V 38.3391 dB] [ET  6.15 ] [L0 64 60 56 ] [L1 ]
POC   66 TId: 0 ( P-SLICE, nQP 29 QP 29 )      68880 bits [Y 33.5220 dB    U 37.9094 dB    V 38.2040 dB] [ET  7.16 ] [L0 65 64 60 ] [L1 ]
POC   67 TId: 0 ( P-SLICE, nQP 30 QP 30 )      52968 bits [Y 32.9829 dB    U 37.7009 dB    V 37.9136 dB] [ET  6.78 ] [L0 66 64 60 ] [L1 ]
POC   68 TId: 0 ( P-SLICE, nQP 28 QP 28 )     194544 bits [Y 35.6919 dB    U 38.3718 dB    V 38.8178 dB] [ET 10.46 ] [L0 67 64 60 ] [L1 ]
POC   69 TId: 0 ( P-SLICE, nQP 30 QP 30 )      42232 bits [Y 33.5703 dB    U 38.0266 dB    V 38.4371 dB] [ET  6.14 ] [L0 68 64 60 ] [L1 ]
POC   70 TId: 0 ( P-SLICE, nQP 29 QP 29 )      63136 bits [Y 33.6562 dB    U 37.9331 dB    V 38.3482 dB] [ET  7.11 ] [L0 69 68 64 ] [L1 ]
POC   71 TId: 0 ( P-SLICE, nQP 30 QP 30 )      43608 bits [Y 33.1658 dB    U 37.8347 dB    V 38.2594 dB] [ET  6.33 ] [L0 70 68 64 ] [L1 ]
POC   72 TId: 0 ( P-SLICE, nQP 28 QP 28 )     177608 bits [Y 35.7487 dB    U 38.5006 dB    V 38.9990 dB] [ET 10.30 ] [L0 71 68 64 ] [L1 ]
POC   73 TId: 0 ( P-SLICE, nQP 30 QP 30 )      38112 bits [Y 33.7296 dB    U 38.1055 dB    V 38.5833 dB] [ET  6.07 ] [L0 72 68 64 ] [L1 ]
POC   74 TId: 0 ( P-SLICE, nQP 29 QP 29 )      58000 bits [Y 33.7800 dB    U 37.9853 dB    V 38.4509 dB] [ET  7.01 ] [L0 73 72 68 ] [L1 ]
POC   75 TId: 0 ( P-SLICE, nQP 30 QP 30 )      43408 bits [Y 33.2667 dB    U 37.7913 dB    V 38.3289 dB] [ET  6.42 ] [L0 74 72 68 ] [L1 ]
POC   76 TId: 0 ( P-SLICE, nQP 28 QP 28 )     173480 bits [Y 35.8207 dB    U 38.6163 dB    V 39.1123 dB] [ET 10.34 ] [L0 75 72 68 ] [L1 ]
POC   77 TId: 0 ( P-SLICE, nQP 30 QP 30 )      34912 bits [Y 33.8737 dB    U 38.1372 dB    V 38.6764 dB] [ET  6.03 ] [L0 76 72 68 ] [L1 ]
POC   78 TId: 0 ( P-SLICE, nQP 29 QP 29 )      53768 bits [Y 33.8872 dB    U 38.0012 dB    V 38.5093 dB] [ET  6.96 ] [L0 77 76 72 ] [L1 ]
POC   79 TId: 0 ( P-SLICE, nQP 30 QP 30 )      42688 bits [Y 33.4083 dB    U 37.8379 dB    V 38.3395 dB] [ET  6.28 ] [L0 78 76 72 ] [L1 ]
POC   80 TId: 0 ( P-SLICE, nQP 28 QP 28 )     169456 bits [Y 35.8787 dB    U 38.6122 dB    V 39.1609 dB] [ET 10.26 ] [L0 79 76 72 ] [L1 ]
POC   81 TId: 0 ( P-SLICE, nQP 30 QP 30 )      33160 bits [Y 33.8757 dB    U 38.1358 dB    V 38.6693 dB] [ET  5.91 ] [L0 80 76 72 ] [L1 ]
POC   82 TId: 0 ( P-SLICE, nQP 29 QP 29 )      49280 bits [Y 33.9141 dB    U 38.0241 dB    V 38.6172 dB] [ET  6.84 ] [L0 81 80 76 ] [L1 ]
POC   83 TId: 0 ( P-SLICE, nQP 30 QP 30 )      34304 bits [Y 33.4494 dB    U 37.9477 dB    V 38.4738 dB] [ET  6.10 ] [L0 82 80 76 ] [L1 ]
POC   84 TId: 0 ( P-SLICE, nQP 28 QP 28 )     159984 bits [Y 35.9222 dB    U 38.6662 dB    V 39.2103 dB] [ET 10.12 ] [L0 83 80 76 ] [L1 ]
POC   85 TId: 0 ( P-SLICE, nQP 30 QP 30 )      30016 bits [Y 33.9530 dB    U 38.1831 dB    V 38.6447 dB] [ET  5.75 ] [L0 84 80 76 ] [L1 ]
POC   86 TId: 0 ( P-SLICE, nQP 29 QP 29 )      47648 bits [Y 33.9458 dB    U 38.0704 dB    V 38.6023 dB] [ET  6.77 ] [L0 85 84 80 ] [L1 ]
POC   87 TId: 0 ( P-SLICE, nQP 30 QP 30 )      36136 bits [Y 33.4493 dB    U 37.8984 dB    V 38.4367 dB] [ET  6.05 ] [L0 86 84 80 ] [L1 ]
POC   88 TId: 0 ( P-SLICE, nQP 28 QP 28 )     161760 bits [Y 35.8658 dB    U 38.6751 dB    V 39.2715 dB] [ET 10.08 ] [L0 87 84 80 ] [L1 ]
POC   89 TId: 0 ( P-SLICE, nQP 30 QP 30 )      31720 bits [Y 33.9372 dB    U 38.2940 dB    V 38.8636 dB] [ET  5.70 ] [L0 88 84 80 ] [L1 ]
POC   90 TId: 0 ( P-SLICE, nQP 29 QP 29 )      49512 bits [Y 33.8827 dB    U 38.1702 dB    V 38.7231 dB] [ET  6.70 ] [L0 89 88 84 ] [L1 ]
POC   91 TId: 0 ( P-SLICE, nQP 30 QP 30 )      37608 bits [Y 33.4357 dB    U 38.1019 dB    V 38.6629 dB] [ET  6.00 ] [L0 90 88 84 ] [L1 ]
POC   92 TId: 0 ( P-SLICE, nQP 28 QP 28 )     171944 bits [Y 35.7769 dB    U 38.5853 dB    V 39.1388 dB] [ET 10.14 ] [L0 91 88 84 ] [L1 ]
POC   93 TId: 0 ( P-SLICE, nQP 30 QP 30 )      33856 bits [Y 33.7980 dB    U 38.1385 dB    V 38.7339 dB] [ET  5.75 ] [L0 92 88 84 ] [L1 ]
POC   94 TId: 0 ( P-SLICE, nQP 29 QP 29 )      54096 bits [Y 33.7821 dB    U 37.9723 dB    V 38.5467 dB] [ET  6.66 ] [L0 93 92 88 ] [L1 ]
POC   95 TId: 0 ( P-SLICE, nQP 30 QP 30 )      43432 bits [Y 33.2218 dB    U 37.8594 dB    V 38.3634 dB] [ET  6.12 ] [L0 94 92 88 ] [L1 ]
POC   96 TId: 0 ( P-SLICE, nQP 28 QP 28 )     178800 bits [Y 35.7030 dB    U 38.5555 dB    V 39.0368 dB] [ET 10.09 ] [L0 95 92 88 ] [L1 ]
POC   97 TId: 0 ( P-SLICE, nQP 30 QP 30 )      43848 bits [Y 33.6144 dB    U 38.0329 dB    V 38.4450 dB] [ET  6.00 ] [L0 96 92 88 ] [L1 ]
POC   98 TId: 0 ( P-SLICE, nQP 29 QP 29 )      65656 bits [Y 33.7064 dB    U 37.9018 dB    V 38.1015 dB] [ET  7.07 ] [L0 97 96 92 ] [L1 ]
POC   99 TId: 0 ( P-SLICE, nQP 30 QP 30 )      50304 bits [Y 33.1153 dB    U 37.7537 dB    V 37.9214 dB] [ET  6.31 ] [L0 98 96 92 ] [L1 ]
POC  100 TId: 0 ( P-SLICE, nQP 28 QP 28 )     185720 bits [Y 35.6395 dB    U 38.5715 dB    V 38.9925 dB] [ET 10.14 ] [L0 99 96 92 ] [L1 ]
POC  101 TId: 0 ( P-SLICE, nQP 30 QP 30 )      45720 bits [Y 33.5712 dB    U 38.0591 dB    V 38.4869 dB] [ET  5.90 ] [L0 100 96 92 ] [L1 ]
POC  102 TId: 0 ( P-SLICE, nQP 29 QP 29 )      67576 bits [Y 33.6201 dB    U 38.0026 dB    V 38.3222 dB] [ET  6.82 ] [L0 101 100 96 ] [L1 ]
POC  103 TId: 0 ( P-SLICE, nQP 30 QP 30 )      56128 bits [Y 33.1181 dB    U 37.9213 dB    V 38.1989 dB] [ET  6.31 ] [L0 102 100 96 ] [L1 ]
POC  104 TId: 0 ( P-SLICE, nQP 28 QP 28 )     189048 bits [Y 35.6134 dB    U 38.4991 dB    V 38.8901 dB] [ET 10.12 ] [L0 103 100 96 ] [L1 ]
POC  105 TId: 0 ( P-SLICE, nQP 30 QP 30 )      47408 bits [Y 33.4533 dB    U 38.0760 dB    V 38.3985 dB] [ET  5.88 ] [L0 104 100 96 ] [L1 ]
POC  106 TId: 0 ( P-SLICE, nQP 29 QP 29 )      67360 bits [Y 33.6570 dB    U 37.9531 dB    V 38.2569 dB] [ET  6.78 ] [L0 105 104 100 ] [L1 ]
POC  107 TId: 0 ( P-SLICE, nQP 30 QP 30 )      50384 bits [Y 33.0734 dB    U 37.9143 dB    V 38.1759 dB] [ET  6.10 ] [L0 106 104 100 ] [L1 ]
POC  108 TId: 0 ( P-SLICE, nQP 28 QP 28 )     184304 bits [Y 35.6289 dB    U 38.5166 dB    V 38.9397 dB] [ET 10.05 ] [L0 107 104 100 ] [L1 ]
POC  109 TId: 0 ( P-SLICE, nQP 30 QP 30 )      44112 bits [Y 33.5071 dB    U 38.1336 dB    V 38.5335 dB] [ET  5.76 ] [L0 108 104 100 ] [L1 ]
POC  110 TId: 0 ( P-SLICE, nQP 29 QP 29 )      64088 bits [Y 33.6201 dB    U 38.0159 dB    V 38.3762 dB] [ET  6.65 ] [L0 109 108 104 ] [L1 ]
POC  111 TId: 0 ( P-SLICE, nQP 30 QP 30 )      50424 bits [Y 33.1437 dB    U 37.9573 dB    V 38.2761 dB] [ET  6.16 ] [L0 110 108 104 ] [L1 ]
