
HM software: Encoder Version [16.2] (including RExt)[Mac OS X][GCC 4.2.1][64 bit] 


Input          File               : /Users/grellert/origCfP/cropped/PeopleOnStreet_2560x1600_30_crop.yuv
Bitstream      File               : str.bin
Reconstruction File               : rec.yuv
Real     Format                   : 2560x1600 30Hz
Internal Format                   : 2560x1600 30Hz
Sequence PSNR output              : Linear average only
Sequence MSE output               : Disabled
Frame MSE output                  : Disabled
Cabac-zero-word-padding           : Disabled
Frame/Field                       : Frame based coding
Frame index                       : 0 - 127 (128 frames)
Profile                           : main
CU size / depth                   : 64 / 4
RQT trans. size (min / max)       : 4 / 32
Max RQT depth inter               : 1
Max RQT depth intra               : 3
Min PCM size                      : 8
Motion search range               : 8
Intra period                      : -1
Decoding refresh type             : 0
QP                                : 27.00
Max dQP signaling depth           : 0
FME                               : 2
Cb QP Offset                      : 0
Cr QP Offset                      : 0
Max CU chroma QP adjustment depth : -1
QP adaptation                     : 0 (range=0)
GOP size                          : 4
Input bit depth                   : (Y:8, C:8)
MSB-extended bit depth            : (Y:8, C:8)
Internal bit depth                : (Y:8, C:8)
PCM sample bit depth              : (Y:8, C:8)
Extended precision processing     : Disabled
Intra reference smoothing         : Enabled
Implicit residual DPCM            : Disabled
Explicit residual DPCM            : Disabled
Residual rotation                 : Disabled
Single significance map context   : Disabled
Cross-component prediction        : Disabled
High-precision prediction weight  : Disabled
Golomb-Rice parameter adaptation  : Disabled
CABAC bypass bit alignment        : Disabled
Sao Luma Offset bit shifts        : 0
Sao Chroma Offset bit shifts      : 0
Cost function:                    : Lossy coding (default)
RateControl                       : 0
Max Num Merge Candidates          : 5

TOOL CFG: IBD:0 HAD:0 RDQ:1 RDQTS:1 RDpenalty:0 SQP:0 ASR:0 FEN:1 ECU:0 FDM:1 CFM:0 ESD:0 RQT:1 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:2 Slice: M=0 SliceSegment: M=0 CIP:0 SAO:1 PCM:0 TransQuantBypassEnabled:0 WPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1 AQpS:0 SignBitHidingFlag:1 RecalQP:0

Non-environment-variable-controlled macros set as follows: 

                                RExt__DECODER_DEBUG_BIT_STATISTICS =   0
                                      RExt__HIGH_BIT_DEPTH_SUPPORT =   0
                            RExt__HIGH_PRECISION_FORWARD_TRANSFORM =   0
                                        O0043_BEST_EFFORT_DECODING =   0
                              RD_TEST_SAO_DISABLE_AT_PICTURE_LEVEL =   0

Warning: delta POC is different between intra RPS and inter RPS specified in the config file.
Warning: delta POC is different between intra RPS and inter RPS specified in the config file.
Warning: delta POC is different between intra RPS and inter RPS specified in the config file.
                   Input ChromaFormatIDC =   4:2:0
       Output (internal) ChromaFormatIDC =   4:2:0

POC    0 TId: 0 ( I-SLICE, nQP 27 QP 27 )    2342768 bits [Y 39.7528 dB    U 43.2606 dB    V 43.5830 dB] [ET  6.43 ] [L0 ] [L1 ]
POC   57 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1022456 bits [Y 37.4670 dB    U 41.9483 dB    V 42.5646 dB] [ET 10.69 ] [L0 56 ] [L1 ]
POC   58 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1247792 bits [Y 37.6102 dB    U 41.7104 dB    V 42.3529 dB] [ET 10.80 ] [L0 56 ] [L1 ]
POC   59 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1362888 bits [Y 37.6701 dB    U 41.6200 dB    V 42.3098 dB] [ET 11.11 ] [L0 56 ] [L1 ]
POC   60 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1733936 bits [Y 38.7491 dB    U 42.5614 dB    V 43.0219 dB] [ET 11.98 ] [L0 56 ] [L1 ]
POC   61 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1045520 bits [Y 37.5469 dB    U 41.9430 dB    V 42.5439 dB] [ET 10.58 ] [L0 60 ] [L1 ]
POC   62 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1248784 bits [Y 37.6316 dB    U 41.7276 dB    V 42.3939 dB] [ET 10.86 ] [L0 60 ] [L1 ]
POC   63 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1362560 bits [Y 37.6877 dB    U 41.6274 dB    V 42.2965 dB] [ET 11.25 ] [L0 60 ] [L1 ]
POC   64 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1738440 bits [Y 38.7651 dB    U 42.5731 dB    V 43.0345 dB] [ET 12.24 ] [L0 60 ] [L1 ]
POC   65 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1037856 bits [Y 37.5600 dB    U 41.9825 dB    V 42.5754 dB] [ET 10.71 ] [L0 64 ] [L1 ]
POC   66 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1253736 bits [Y 37.6488 dB    U 41.7309 dB    V 42.3959 dB] [ET 10.89 ] [L0 64 ] [L1 ]
POC   67 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1351600 bits [Y 37.6894 dB    U 41.6478 dB    V 42.3079 dB] [ET 10.96 ] [L0 64 ] [L1 ]
POC   68 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1709040 bits [Y 38.7685 dB    U 42.5871 dB    V 43.0307 dB] [ET 11.84 ] [L0 64 ] [L1 ]
POC   69 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1027896 bits [Y 37.5339 dB    U 41.9639 dB    V 42.5389 dB] [ET 10.75 ] [L0 68 ] [L1 ]
POC   70 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1239168 bits [Y 37.6802 dB    U 41.7491 dB    V 42.3460 dB] [ET 10.85 ] [L0 68 ] [L1 ]
POC   71 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1351200 bits [Y 37.7010 dB    U 41.6669 dB    V 42.3089 dB] [ET 11.07 ] [L0 68 ] [L1 ]
POC   72 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1712312 bits [Y 38.7598 dB    U 42.5674 dB    V 43.0301 dB] [ET 12.05 ] [L0 68 ] [L1 ]
POC   73 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1033624 bits [Y 37.5056 dB    U 41.9664 dB    V 42.5839 dB] [ET 10.91 ] [L0 72 ] [L1 ]
POC   74 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1247544 bits [Y 37.6528 dB    U 41.7176 dB    V 42.3837 dB] [ET 11.01 ] [L0 72 ] [L1 ]
POC   75 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1357360 bits [Y 37.7238 dB    U 41.6584 dB    V 42.3391 dB] [ET 11.20 ] [L0 72 ] [L1 ]
POC   76 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1720768 bits [Y 38.7682 dB    U 42.5560 dB    V 42.9960 dB] [ET 12.03 ] [L0 72 ] [L1 ]
POC   77 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1037792 bits [Y 37.5340 dB    U 41.9120 dB    V 42.5228 dB] [ET 10.67 ] [L0 76 ] [L1 ]
POC   78 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1267376 bits [Y 37.6361 dB    U 41.6876 dB    V 42.3501 dB] [ET 10.94 ] [L0 76 ] [L1 ]
POC   79 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1371528 bits [Y 37.7046 dB    U 41.5980 dB    V 42.2848 dB] [ET 11.11 ] [L0 76 ] [L1 ]
POC   80 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1750056 bits [Y 38.7979 dB    U 42.5274 dB    V 42.9946 dB] [ET 11.73 ] [L0 76 ] [L1 ]
POC   81 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1054168 bits [Y 37.4953 dB    U 41.8892 dB    V 42.5139 dB] [ET 10.51 ] [L0 80 ] [L1 ]
POC   82 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1282456 bits [Y 37.6597 dB    U 41.6865 dB    V 42.3442 dB] [ET 10.69 ] [L0 80 ] [L1 ]
POC   83 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1390968 bits [Y 37.7023 dB    U 41.5952 dB    V 42.2319 dB] [ET 10.87 ] [L0 80 ] [L1 ]
POC   84 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1776792 bits [Y 38.7875 dB    U 42.5111 dB    V 42.9645 dB] [ET 12.04 ] [L0 80 ] [L1 ]
POC   85 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1077536 bits [Y 37.5341 dB    U 41.8555 dB    V 42.4539 dB] [ET 10.22 ] [L0 84 ] [L1 ]
POC   86 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1299904 bits [Y 37.6214 dB    U 41.6168 dB    V 42.2940 dB] [ET 10.43 ] [L0 84 ] [L1 ]
POC   87 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1403624 bits [Y 37.6853 dB    U 41.5137 dB    V 42.1899 dB] [ET 10.69 ] [L0 84 ] [L1 ]
POC   88 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1766712 bits [Y 38.7773 dB    U 42.4694 dB    V 42.9189 dB] [ET 11.29 ] [L0 84 ] [L1 ]
POC   89 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1068256 bits [Y 37.5281 dB    U 41.8582 dB    V 42.4470 dB] [ET 10.33 ] [L0 88 ] [L1 ]
POC   90 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1292632 bits [Y 37.6524 dB    U 41.5964 dB    V 42.2856 dB] [ET 10.59 ] [L0 88 ] [L1 ]
POC   91 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1404616 bits [Y 37.6928 dB    U 41.4922 dB    V 42.2007 dB] [ET 11.02 ] [L0 88 ] [L1 ]
POC   92 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1781752 bits [Y 38.8093 dB    U 42.4348 dB    V 42.9257 dB] [ET 11.59 ] [L0 88 ] [L1 ]
POC   93 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1069680 bits [Y 37.5731 dB    U 41.8046 dB    V 42.4279 dB] [ET 10.36 ] [L0 92 ] [L1 ]
POC   94 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1289832 bits [Y 37.6460 dB    U 41.6166 dB    V 42.2605 dB] [ET 10.86 ] [L0 92 ] [L1 ]
POC   95 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1408736 bits [Y 37.7012 dB    U 41.5093 dB    V 42.1565 dB] [ET 11.31 ] [L0 92 ] [L1 ]
POC   96 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1777872 bits [Y 38.7932 dB    U 42.4733 dB    V 42.9195 dB] [ET 12.41 ] [L0 92 ] [L1 ]
POC   97 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1069200 bits [Y 37.5507 dB    U 41.8203 dB    V 42.4140 dB] [ET 10.88 ] [L0 96 ] [L1 ]
POC   98 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1304832 bits [Y 37.6581 dB    U 41.5726 dB    V 42.2241 dB] [ET 11.66 ] [L0 96 ] [L1 ]
POC   99 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1424608 bits [Y 37.7226 dB    U 41.4787 dB    V 42.1475 dB] [ET 11.70 ] [L0 96 ] [L1 ]
POC  100 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1795904 bits [Y 38.7868 dB    U 42.4175 dB    V 42.8715 dB] [ET 12.64 ] [L0 96 ] [L1 ]
POC  101 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1092904 bits [Y 37.5605 dB    U 41.7330 dB    V 42.3791 dB] [ET 10.85 ] [L0 100 ] [L1 ]
POC  102 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1314624 bits [Y 37.6490 dB    U 41.5616 dB    V 42.1985 dB] [ET 10.54 ] [L0 100 ] [L1 ]
POC  103 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1419736 bits [Y 37.7109 dB    U 41.4324 dB    V 42.1052 dB] [ET 10.49 ] [L0 100 ] [L1 ]
POC  104 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1809512 bits [Y 38.8037 dB    U 42.3881 dB    V 42.8284 dB] [ET 11.73 ] [L0 100 ] [L1 ]
POC  105 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1092248 bits [Y 37.5624 dB    U 41.7660 dB    V 42.3514 dB] [ET 10.26 ] [L0 104 ] [L1 ]
POC  106 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1331184 bits [Y 37.6548 dB    U 41.5431 dB    V 42.1942 dB] [ET 10.48 ] [L0 104 ] [L1 ]
POC  107 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1434288 bits [Y 37.7380 dB    U 41.4420 dB    V 42.0970 dB] [ET 10.61 ] [L0 104 ] [L1 ]
POC  108 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1831704 bits [Y 38.7979 dB    U 42.3401 dB    V 42.8241 dB] [ET 12.12 ] [L0 104 ] [L1 ]
POC  109 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1111928 bits [Y 37.5415 dB    U 41.6996 dB    V 42.3567 dB] [ET 10.58 ] [L0 108 ] [L1 ]
POC  110 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1352168 bits [Y 37.6235 dB    U 41.4620 dB    V 42.1821 dB] [ET 10.90 ] [L0 108 ] [L1 ]
POC  111 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1453808 bits [Y 37.6822 dB    U 41.3746 dB    V 42.0901 dB] [ET 11.34 ] [L0 108 ] [L1 ]
POC  112 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1855096 bits [Y 38.8043 dB    U 42.3106 dB    V 42.8048 dB] [ET 12.02 ] [L0 108 ] [L1 ]
POC  113 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1111528 bits [Y 37.5302 dB    U 41.7035 dB    V 42.3628 dB] [ET 10.55 ] [L0 112 ] [L1 ]
POC  114 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1346320 bits [Y 37.6140 dB    U 41.4458 dB    V 42.1461 dB] [ET 11.01 ] [L0 112 ] [L1 ]
