
HM software: Encoder Version [16.2] (including RExt)[Mac OS X][GCC 4.2.1][64 bit] 


Input          File               : /Users/grellert/origCfP/cropped/PartyScene_832x448_50.yuv
Bitstream      File               : str.bin
Reconstruction File               : rec.yuv
Real     Format                   : 832x448 50Hz
Internal Format                   : 832x448 50Hz
Sequence PSNR output              : Linear average only
Sequence MSE output               : Disabled
Frame MSE output                  : Disabled
Cabac-zero-word-padding           : Disabled
Frame/Field                       : Frame based coding
Frame index                       : 0 - 127 (128 frames)
Profile                           : main
CU size / depth                   : 64 / 4
RQT trans. size (min / max)       : 4 / 32
Max RQT depth inter               : 3
Max RQT depth intra               : 3
Min PCM size                      : 8
Motion search range               : 64
Intra period                      : -1
Decoding refresh type             : 0
QP                                : 22.00
Max dQP signaling depth           : 0
FME                               : 2
Cb QP Offset                      : 0
Cr QP Offset                      : 0
Max CU chroma QP adjustment depth : -1
QP adaptation                     : 0 (range=0)
GOP size                          : 4
Input bit depth                   : (Y:8, C:8)
MSB-extended bit depth            : (Y:8, C:8)
Internal bit depth                : (Y:8, C:8)
PCM sample bit depth              : (Y:8, C:8)
Extended precision processing     : Disabled
Intra reference smoothing         : Enabled
Implicit residual DPCM            : Disabled
Explicit residual DPCM            : Disabled
Residual rotation                 : Disabled
Single significance map context   : Disabled
Cross-component prediction        : Disabled
High-precision prediction weight  : Disabled
Golomb-Rice parameter adaptation  : Disabled
CABAC bypass bit alignment        : Disabled
Sao Luma Offset bit shifts        : 0
Sao Chroma Offset bit shifts      : 0
Cost function:                    : Lossy coding (default)
RateControl                       : 0
Max Num Merge Candidates          : 5

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 SQP:0 ASR:0 FEN:1 ECU:0 FDM:1 CFM:0 ESD:0 RQT:1 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:2 Slice: M=0 SliceSegment: M=0 CIP:0 SAO:1 PCM:0 TransQuantBypassEnabled:0 WPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1 AQpS:0 SignBitHidingFlag:1 RecalQP:0

Non-environment-variable-controlled macros set as follows: 

                                RExt__DECODER_DEBUG_BIT_STATISTICS =   0
                                      RExt__HIGH_BIT_DEPTH_SUPPORT =   0
                            RExt__HIGH_PRECISION_FORWARD_TRANSFORM =   0
                                        O0043_BEST_EFFORT_DECODING =   0
                              RD_TEST_SAO_DISABLE_AT_PICTURE_LEVEL =   0

Warning: delta POC is different between intra RPS and inter RPS specified in the config file.
Warning: delta POC is different between intra RPS and inter RPS specified in the config file.
Warning: delta POC is different between intra RPS and inter RPS specified in the config file.
                   Input ChromaFormatIDC =   4:2:0
       Output (internal) ChromaFormatIDC =   4:2:0

POC    0 TId: 0 ( I-SLICE, nQP 22 QP 22 )     974808 bits [Y 41.3453 dB    U 42.1895 dB    V 42.7291 dB] [ET  4.12 ] [L0 ] [L1 ]
POC   54 TId: 0 ( P-SLICE, nQP 23 QP 23 )     311448 bits [Y 38.6578 dB    U 40.6328 dB    V 41.2430 dB] [ET 10.60 ] [L0 52 ] [L1 ]
POC   55 TId: 0 ( P-SLICE, nQP 23 QP 23 )     330088 bits [Y 38.6540 dB    U 40.5154 dB    V 41.1238 dB] [ET 11.01 ] [L0 52 ] [L1 ]
POC   56 TId: 0 ( P-SLICE, nQP 23 QP 23 )     429200 bits [Y 39.7558 dB    U 41.3141 dB    V 41.9493 dB] [ET 11.96 ] [L0 52 ] [L1 ]
POC   57 TId: 0 ( P-SLICE, nQP 23 QP 23 )     231584 bits [Y 38.5544 dB    U 40.7792 dB    V 41.4232 dB] [ET  9.17 ] [L0 56 ] [L1 ]
POC   58 TId: 0 ( P-SLICE, nQP 23 QP 23 )     293120 bits [Y 38.6006 dB    U 40.6396 dB    V 41.2761 dB] [ET 10.14 ] [L0 56 ] [L1 ]
POC   59 TId: 0 ( P-SLICE, nQP 23 QP 23 )     323744 bits [Y 38.6468 dB    U 40.5813 dB    V 41.1752 dB] [ET 10.80 ] [L0 56 ] [L1 ]
POC   60 TId: 0 ( P-SLICE, nQP 23 QP 23 )     425040 bits [Y 39.7353 dB    U 41.3081 dB    V 41.9021 dB] [ET 11.86 ] [L0 56 ] [L1 ]
POC   61 TId: 0 ( P-SLICE, nQP 23 QP 23 )     241864 bits [Y 38.5839 dB    U 40.7784 dB    V 41.3918 dB] [ET  9.32 ] [L0 60 ] [L1 ]
POC   62 TId: 0 ( P-SLICE, nQP 23 QP 23 )     306640 bits [Y 38.6621 dB    U 40.6527 dB    V 41.2584 dB] [ET 10.48 ] [L0 60 ] [L1 ]
POC   63 TId: 0 ( P-SLICE, nQP 23 QP 23 )     336152 bits [Y 38.6804 dB    U 40.5606 dB    V 41.0896 dB] [ET 11.02 ] [L0 60 ] [L1 ]
POC   64 TId: 0 ( P-SLICE, nQP 23 QP 23 )     436856 bits [Y 39.7501 dB    U 41.2962 dB    V 41.9059 dB] [ET 12.04 ] [L0 60 ] [L1 ]
POC   65 TId: 0 ( P-SLICE, nQP 23 QP 23 )     239712 bits [Y 38.6095 dB    U 40.7437 dB    V 41.3797 dB] [ET  9.47 ] [L0 64 ] [L1 ]
POC   66 TId: 0 ( P-SLICE, nQP 23 QP 23 )     303144 bits [Y 38.6708 dB    U 40.6846 dB    V 41.2279 dB] [ET 10.55 ] [L0 64 ] [L1 ]
POC   67 TId: 0 ( P-SLICE, nQP 23 QP 23 )     328984 bits [Y 38.6707 dB    U 40.4809 dB    V 41.0646 dB] [ET 10.92 ] [L0 64 ] [L1 ]
POC   68 TId: 0 ( P-SLICE, nQP 23 QP 23 )     429904 bits [Y 39.7498 dB    U 41.3026 dB    V 41.9624 dB] [ET 11.82 ] [L0 64 ] [L1 ]
POC   69 TId: 0 ( P-SLICE, nQP 23 QP 23 )     225920 bits [Y 38.6003 dB    U 40.7735 dB    V 41.4637 dB] [ET  9.34 ] [L0 68 ] [L1 ]
POC   70 TId: 0 ( P-SLICE, nQP 23 QP 23 )     283032 bits [Y 38.6889 dB    U 40.6813 dB    V 41.3470 dB] [ET 10.24 ] [L0 68 ] [L1 ]
POC   71 TId: 0 ( P-SLICE, nQP 23 QP 23 )     296448 bits [Y 38.7047 dB    U 40.6586 dB    V 41.3454 dB] [ET 10.57 ] [L0 68 ] [L1 ]
POC   72 TId: 0 ( P-SLICE, nQP 23 QP 23 )     400296 bits [Y 39.8015 dB    U 41.4164 dB    V 42.1024 dB] [ET 11.69 ] [L0 68 ] [L1 ]
POC   73 TId: 0 ( P-SLICE, nQP 23 QP 23 )     213216 bits [Y 38.6721 dB    U 40.9281 dB    V 41.6686 dB] [ET  9.24 ] [L0 72 ] [L1 ]
POC   74 TId: 0 ( P-SLICE, nQP 23 QP 23 )     269728 bits [Y 38.7060 dB    U 40.8025 dB    V 41.4809 dB] [ET 10.34 ] [L0 72 ] [L1 ]
POC   75 TId: 0 ( P-SLICE, nQP 23 QP 23 )     286952 bits [Y 38.7325 dB    U 40.7754 dB    V 41.4614 dB] [ET 10.67 ] [L0 72 ] [L1 ]
POC   76 TId: 0 ( P-SLICE, nQP 23 QP 23 )     388024 bits [Y 39.8558 dB    U 41.4667 dB    V 42.1619 dB] [ET 11.84 ] [L0 72 ] [L1 ]
POC   77 TId: 0 ( P-SLICE, nQP 23 QP 23 )     201576 bits [Y 38.7198 dB    U 40.9512 dB    V 41.7420 dB] [ET  9.28 ] [L0 76 ] [L1 ]
POC   78 TId: 0 ( P-SLICE, nQP 23 QP 23 )     257072 bits [Y 38.7779 dB    U 40.8437 dB    V 41.5526 dB] [ET 10.15 ] [L0 76 ] [L1 ]
POC   79 TId: 0 ( P-SLICE, nQP 23 QP 23 )     276384 bits [Y 38.7824 dB    U 40.7552 dB    V 41.4754 dB] [ET 10.50 ] [L0 76 ] [L1 ]
POC   80 TId: 0 ( P-SLICE, nQP 23 QP 23 )     378896 bits [Y 39.8936 dB    U 41.5010 dB    V 42.2658 dB] [ET 11.59 ] [L0 76 ] [L1 ]
POC   81 TId: 0 ( P-SLICE, nQP 23 QP 23 )     195760 bits [Y 38.7247 dB    U 40.9910 dB    V 41.8124 dB] [ET  8.84 ] [L0 80 ] [L1 ]
POC   82 TId: 0 ( P-SLICE, nQP 23 QP 23 )     248352 bits [Y 38.8171 dB    U 40.8688 dB    V 41.7063 dB] [ET  9.93 ] [L0 80 ] [L1 ]
POC   83 TId: 0 ( P-SLICE, nQP 23 QP 23 )     260464 bits [Y 38.8235 dB    U 40.7958 dB    V 41.6215 dB] [ET 10.31 ] [L0 80 ] [L1 ]
POC   84 TId: 0 ( P-SLICE, nQP 23 QP 23 )     361968 bits [Y 39.8989 dB    U 41.5826 dB    V 42.3512 dB] [ET 11.31 ] [L0 80 ] [L1 ]
POC   85 TId: 0 ( P-SLICE, nQP 23 QP 23 )     189720 bits [Y 38.7646 dB    U 41.0195 dB    V 41.8466 dB] [ET  8.95 ] [L0 84 ] [L1 ]
POC   86 TId: 0 ( P-SLICE, nQP 23 QP 23 )     237808 bits [Y 38.7914 dB    U 40.9128 dB    V 41.7414 dB] [ET  9.96 ] [L0 84 ] [L1 ]
POC   87 TId: 0 ( P-SLICE, nQP 23 QP 23 )     260872 bits [Y 38.8014 dB    U 40.8405 dB    V 41.6216 dB] [ET 10.34 ] [L0 84 ] [L1 ]
POC   88 TId: 0 ( P-SLICE, nQP 23 QP 23 )     362360 bits [Y 39.8434 dB    U 41.5851 dB    V 42.3998 dB] [ET 11.57 ] [L0 84 ] [L1 ]
POC   89 TId: 0 ( P-SLICE, nQP 23 QP 23 )     189880 bits [Y 38.6825 dB    U 41.0852 dB    V 41.9738 dB] [ET  9.02 ] [L0 88 ] [L1 ]
POC   90 TId: 0 ( P-SLICE, nQP 23 QP 23 )     247968 bits [Y 38.7560 dB    U 40.9667 dB    V 41.7653 dB] [ET  9.97 ] [L0 88 ] [L1 ]
POC   91 TId: 0 ( P-SLICE, nQP 23 QP 23 )     261160 bits [Y 38.6996 dB    U 40.8912 dB    V 41.6675 dB] [ET 10.26 ] [L0 88 ] [L1 ]
POC   92 TId: 0 ( P-SLICE, nQP 23 QP 23 )     383200 bits [Y 39.7625 dB    U 41.5462 dB    V 42.2852 dB] [ET 11.53 ] [L0 88 ] [L1 ]
POC   93 TId: 0 ( P-SLICE, nQP 23 QP 23 )     199832 bits [Y 38.6497 dB    U 40.9281 dB    V 41.8104 dB] [ET  8.82 ] [L0 92 ] [L1 ]
POC   94 TId: 0 ( P-SLICE, nQP 23 QP 23 )     256552 bits [Y 38.6906 dB    U 40.8677 dB    V 41.6542 dB] [ET  9.85 ] [L0 92 ] [L1 ]
POC   95 TId: 0 ( P-SLICE, nQP 23 QP 23 )     279312 bits [Y 38.6617 dB    U 40.7945 dB    V 41.5329 dB] [ET 10.34 ] [L0 92 ] [L1 ]
POC   96 TId: 0 ( P-SLICE, nQP 23 QP 23 )     393312 bits [Y 39.7485 dB    U 41.5224 dB    V 42.2054 dB] [ET 11.45 ] [L0 92 ] [L1 ]
POC   97 TId: 0 ( P-SLICE, nQP 23 QP 23 )     224496 bits [Y 38.6000 dB    U 40.9193 dB    V 41.6438 dB] [ET  9.23 ] [L0 96 ] [L1 ]
POC   98 TId: 0 ( P-SLICE, nQP 23 QP 23 )     286640 bits [Y 38.6669 dB    U 40.8375 dB    V 41.4755 dB] [ET 10.33 ] [L0 96 ] [L1 ]
POC   99 TId: 0 ( P-SLICE, nQP 23 QP 23 )     309864 bits [Y 38.6387 dB    U 40.7496 dB    V 41.4068 dB] [ET 10.63 ] [L0 96 ] [L1 ]
POC  100 TId: 0 ( P-SLICE, nQP 23 QP 23 )     410688 bits [Y 39.6715 dB    U 41.4742 dB    V 42.1479 dB] [ET 11.84 ] [L0 96 ] [L1 ]
POC  101 TId: 0 ( P-SLICE, nQP 23 QP 23 )     226832 bits [Y 38.5668 dB    U 40.8470 dB    V 41.5986 dB] [ET  9.21 ] [L0 100 ] [L1 ]
POC  102 TId: 0 ( P-SLICE, nQP 23 QP 23 )     285184 bits [Y 38.6061 dB    U 40.7724 dB    V 41.4289 dB] [ET 10.11 ] [L0 100 ] [L1 ]
POC  103 TId: 0 ( P-SLICE, nQP 23 QP 23 )     305864 bits [Y 38.6351 dB    U 40.7463 dB    V 41.3887 dB] [ET 10.44 ] [L0 100 ] [L1 ]
POC  104 TId: 0 ( P-SLICE, nQP 23 QP 23 )     411712 bits [Y 39.7019 dB    U 41.3969 dB    V 42.1149 dB] [ET 11.66 ] [L0 100 ] [L1 ]
POC  105 TId: 0 ( P-SLICE, nQP 23 QP 23 )     235200 bits [Y 38.5585 dB    U 40.8530 dB    V 41.5874 dB] [ET  9.03 ] [L0 104 ] [L1 ]
POC  106 TId: 0 ( P-SLICE, nQP 23 QP 23 )     284288 bits [Y 38.6302 dB    U 40.6858 dB    V 41.4408 dB] [ET  9.93 ] [L0 104 ] [L1 ]
POC  107 TId: 0 ( P-SLICE, nQP 23 QP 23 )     301440 bits [Y 38.6307 dB    U 40.7041 dB    V 41.3611 dB] [ET 10.39 ] [L0 104 ] [L1 ]
POC  108 TId: 0 ( P-SLICE, nQP 23 QP 23 )     405840 bits [Y 39.6980 dB    U 41.4488 dB    V 42.1291 dB] [ET 11.53 ] [L0 104 ] [L1 ]
POC  109 TId: 0 ( P-SLICE, nQP 23 QP 23 )     229280 bits [Y 38.5606 dB    U 40.8732 dB    V 41.6220 dB] [ET  9.17 ] [L0 108 ] [L1 ]
POC  110 TId: 0 ( P-SLICE, nQP 23 QP 23 )     278416 bits [Y 38.6280 dB    U 40.7908 dB    V 41.4908 dB] [ET 10.07 ] [L0 108 ] [L1 ]
POC  111 TId: 0 ( P-SLICE, nQP 23 QP 23 )     293800 bits [Y 38.6008 dB    U 40.7107 dB    V 41.3776 dB] [ET 10.45 ] [L0 108 ] [L1 ]
POC  112 TId: 0 ( P-SLICE, nQP 23 QP 23 )     404224 bits [Y 39.7051 dB    U 41.4575 dB    V 42.1050 dB] [ET 11.85 ] [L0 108 ] [L1 ]
POC  113 TId: 0 ( P-SLICE, nQP 23 QP 23 )     226832 bits [Y 38.5613 dB    U 40.9698 dB    V 41.6211 dB] [ET  9.14 ] [L0 112 ] [L1 ]
POC  114 TId: 0 ( P-SLICE, nQP 23 QP 23 )     276664 bits [Y 38.5974 dB    U 40.8314 dB    V 41.5008 dB] [ET 10.05 ] [L0 112 ] [L1 ]
POC  115 TId: 0 ( P-SLICE, nQP 23 QP 23 )     291016 bits [Y 38.5876 dB    U 40.7164 dB    V 41.3959 dB] [ET 10.39 ] [L0 112 ] [L1 ]
