
HM software: Encoder Version [16.2] (including RExt)[Mac OS X][GCC 4.2.1][64 bit] 


Input          File               : /Users/grellert/origCfP/cropped/PartyScene_832x448_50.yuv
Bitstream      File               : str.bin
Reconstruction File               : rec.yuv
Real     Format                   : 832x448 50Hz
Internal Format                   : 832x448 50Hz
Sequence PSNR output              : Linear average only
Sequence MSE output               : Disabled
Frame MSE output                  : Disabled
Cabac-zero-word-padding           : Disabled
Frame/Field                       : Frame based coding
Frame index                       : 0 - 127 (128 frames)
Profile                           : main
CU size / depth                   : 64 / 4
RQT trans. size (min / max)       : 4 / 32
Max RQT depth inter               : 3
Max RQT depth intra               : 3
Min PCM size                      : 8
Motion search range               : 64
Intra period                      : -1
Decoding refresh type             : 0
QP                                : 22.00
Max dQP signaling depth           : 0
FME                               : 2
Cb QP Offset                      : 0
Cr QP Offset                      : 0
Max CU chroma QP adjustment depth : -1
QP adaptation                     : 0 (range=0)
GOP size                          : 4
Input bit depth                   : (Y:8, C:8)
MSB-extended bit depth            : (Y:8, C:8)
Internal bit depth                : (Y:8, C:8)
PCM sample bit depth              : (Y:8, C:8)
Extended precision processing     : Disabled
Intra reference smoothing         : Enabled
Implicit residual DPCM            : Disabled
Explicit residual DPCM            : Disabled
Residual rotation                 : Disabled
Single significance map context   : Disabled
Cross-component prediction        : Disabled
High-precision prediction weight  : Disabled
Golomb-Rice parameter adaptation  : Disabled
CABAC bypass bit alignment        : Disabled
Sao Luma Offset bit shifts        : 0
Sao Chroma Offset bit shifts      : 0
Cost function:                    : Lossy coding (default)
RateControl                       : 0
Max Num Merge Candidates          : 5

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 SQP:0 ASR:0 FEN:1 ECU:0 FDM:1 CFM:0 ESD:0 RQT:1 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:2 Slice: M=0 SliceSegment: M=0 CIP:0 SAO:1 PCM:0 TransQuantBypassEnabled:0 WPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1 AQpS:0 SignBitHidingFlag:1 RecalQP:0

Non-environment-variable-controlled macros set as follows: 

                                RExt__DECODER_DEBUG_BIT_STATISTICS =   0
                                      RExt__HIGH_BIT_DEPTH_SUPPORT =   0
                            RExt__HIGH_PRECISION_FORWARD_TRANSFORM =   0
                                        O0043_BEST_EFFORT_DECODING =   0
                              RD_TEST_SAO_DISABLE_AT_PICTURE_LEVEL =   0

                   Input ChromaFormatIDC =   4:2:0
       Output (internal) ChromaFormatIDC =   4:2:0

POC    0 TId: 0 ( I-SLICE, nQP 22 QP 22 )     974936 bits [Y 41.3453 dB    U 42.1895 dB    V 42.7291 dB] [ET  3.88 ] [L0 ] [L1 ]
POC    1 TId: 0 ( P-SLICE, nQP 25 QP 25 )        128 bits [Y 41.3453 dB    U 42.1895 dB    V 42.7291 dB] [ET  2.05 ] [L0 0 ] [L1 ]
POC    2 TId: 0 ( P-SLICE, nQP 24 QP 24 )        136 bits [Y 41.3453 dB    U 42.1895 dB    V 42.7291 dB] [ET  2.71 ] [L0 1 0 ] [L1 ]
POC   19 TId: 0 ( P-SLICE, nQP 25 QP 25 )     199192 bits [Y 36.9331 dB    U 39.9384 dB    V 40.3419 dB] [ET 10.16 ] [L0 18 16 12 ] [L1 ]
POC   20 TId: 0 ( P-SLICE, nQP 23 QP 23 )     421864 bits [Y 39.8179 dB    U 41.2854 dB    V 41.7718 dB] [ET 13.24 ] [L0 19 16 12 ] [L1 ]
POC   21 TId: 0 ( P-SLICE, nQP 25 QP 25 )     174592 bits [Y 37.1795 dB    U 40.4384 dB    V 40.8457 dB] [ET  9.67 ] [L0 20 16 12 ] [L1 ]
POC   22 TId: 0 ( P-SLICE, nQP 24 QP 24 )     253968 bits [Y 37.9541 dB    U 40.4101 dB    V 40.7929 dB] [ET 11.06 ] [L0 21 20 16 ] [L1 ]
POC   23 TId: 0 ( P-SLICE, nQP 25 QP 25 )     190192 bits [Y 37.0107 dB    U 40.0379 dB    V 40.4059 dB] [ET 10.20 ] [L0 22 20 16 ] [L1 ]
POC   24 TId: 0 ( P-SLICE, nQP 23 QP 23 )     406896 bits [Y 39.8641 dB    U 41.3700 dB    V 41.8520 dB] [ET 13.11 ] [L0 23 20 16 ] [L1 ]
POC   25 TId: 0 ( P-SLICE, nQP 25 QP 25 )     168784 bits [Y 37.2311 dB    U 40.4650 dB    V 40.9122 dB] [ET  9.82 ] [L0 24 20 16 ] [L1 ]
POC   26 TId: 0 ( P-SLICE, nQP 24 QP 24 )     248440 bits [Y 38.0083 dB    U 40.4429 dB    V 40.9154 dB] [ET 11.13 ] [L0 25 24 20 ] [L1 ]
POC   27 TId: 0 ( P-SLICE, nQP 25 QP 25 )     181168 bits [Y 37.0745 dB    U 40.0089 dB    V 40.4619 dB] [ET 10.07 ] [L0 26 24 20 ] [L1 ]
POC   28 TId: 0 ( P-SLICE, nQP 23 QP 23 )     399944 bits [Y 39.9138 dB    U 41.3972 dB    V 41.9374 dB] [ET 13.20 ] [L0 27 24 20 ] [L1 ]
POC   29 TId: 0 ( P-SLICE, nQP 25 QP 25 )     162704 bits [Y 37.2743 dB    U 40.4920 dB    V 40.9640 dB] [ET  9.80 ] [L0 28 24 20 ] [L1 ]
POC   30 TId: 0 ( P-SLICE, nQP 24 QP 24 )     238288 bits [Y 38.0818 dB    U 40.5032 dB    V 40.9996 dB] [ET 11.08 ] [L0 29 28 24 ] [L1 ]
POC   31 TId: 0 ( P-SLICE, nQP 25 QP 25 )     165752 bits [Y 37.1689 dB    U 40.0978 dB    V 40.5526 dB] [ET 10.10 ] [L0 30 28 24 ] [L1 ]
POC   32 TId: 0 ( P-SLICE, nQP 23 QP 23 )     373536 bits [Y 39.9310 dB    U 41.4351 dB    V 42.0605 dB] [ET 13.04 ] [L0 31 28 24 ] [L1 ]
POC   33 TId: 0 ( P-SLICE, nQP 25 QP 25 )     140120 bits [Y 37.3464 dB    U 40.5484 dB    V 41.1205 dB] [ET  9.71 ] [L0 32 28 24 ] [L1 ]
POC   34 TId: 0 ( P-SLICE, nQP 24 QP 24 )     217088 bits [Y 38.1160 dB    U 40.5044 dB    V 41.1699 dB] [ET 11.19 ] [L0 33 32 28 ] [L1 ]
POC   35 TId: 0 ( P-SLICE, nQP 25 QP 25 )     140120 bits [Y 37.1447 dB    U 40.0949 dB    V 40.7090 dB] [ET  9.89 ] [L0 34 32 28 ] [L1 ]
POC   36 TId: 0 ( P-SLICE, nQP 23 QP 23 )     342432 bits [Y 39.9679 dB    U 41.5339 dB    V 42.2487 dB] [ET 12.84 ] [L0 35 32 28 ] [L1 ]
POC   37 TId: 0 ( P-SLICE, nQP 25 QP 25 )     118496 bits [Y 37.4049 dB    U 40.4556 dB    V 41.4360 dB] [ET  9.68 ] [L0 36 32 28 ] [L1 ]
POC   38 TId: 0 ( P-SLICE, nQP 24 QP 24 )     181008 bits [Y 38.1625 dB    U 40.6679 dB    V 41.4685 dB] [ET 10.58 ] [L0 37 36 32 ] [L1 ]
POC   39 TId: 0 ( P-SLICE, nQP 25 QP 25 )     120992 bits [Y 37.2958 dB    U 40.3787 dB    V 41.1459 dB] [ET  9.39 ] [L0 38 36 32 ] [L1 ]
POC   40 TId: 0 ( P-SLICE, nQP 23 QP 23 )     319048 bits [Y 39.9907 dB    U 41.7270 dB    V 42.4160 dB] [ET 12.60 ] [L0 39 36 32 ] [L1 ]
POC   41 TId: 0 ( P-SLICE, nQP 25 QP 25 )     104064 bits [Y 37.5205 dB    U 40.9885 dB    V 41.6669 dB] [ET  9.09 ] [L0 40 36 32 ] [L1 ]
POC   42 TId: 0 ( P-SLICE, nQP 24 QP 24 )     167864 bits [Y 38.1867 dB    U 40.9484 dB    V 41.6146 dB] [ET 10.29 ] [L0 41 40 36 ] [L1 ]
POC   43 TId: 0 ( P-SLICE, nQP 25 QP 25 )     113056 bits [Y 37.3378 dB    U 40.5937 dB    V 41.2336 dB] [ET  9.13 ] [L0 42 40 36 ] [L1 ]
POC   44 TId: 0 ( P-SLICE, nQP 23 QP 23 )     313296 bits [Y 39.9689 dB    U 41.7673 dB    V 42.4744 dB] [ET 12.45 ] [L0 43 40 36 ] [L1 ]
POC   45 TId: 0 ( P-SLICE, nQP 25 QP 25 )     108464 bits [Y 37.4749 dB    U 40.9750 dB    V 41.5539 dB] [ET  9.07 ] [L0 44 40 36 ] [L1 ]
POC   46 TId: 0 ( P-SLICE, nQP 24 QP 24 )     181096 bits [Y 38.1808 dB    U 40.8748 dB    V 41.4977 dB] [ET 10.37 ] [L0 45 44 40 ] [L1 ]
POC   47 TId: 0 ( P-SLICE, nQP 25 QP 25 )     129648 bits [Y 37.2561 dB    U 40.4543 dB    V 41.1315 dB] [ET  9.29 ] [L0 46 44 40 ] [L1 ]
POC   48 TId: 0 ( P-SLICE, nQP 23 QP 23 )     335928 bits [Y 39.8805 dB    U 41.6117 dB    V 42.2458 dB] [ET 12.64 ] [L0 47 44 40 ] [L1 ]
POC   49 TId: 0 ( P-SLICE, nQP 25 QP 25 )     130536 bits [Y 37.3564 dB    U 40.7313 dB    V 41.2658 dB] [ET  9.58 ] [L0 48 44 40 ] [L1 ]
POC   50 TId: 0 ( P-SLICE, nQP 24 QP 24 )     207744 bits [Y 38.0528 dB    U 40.6311 dB    V 41.2541 dB] [ET 10.72 ] [L0 49 48 44 ] [L1 ]
POC   51 TId: 0 ( P-SLICE, nQP 25 QP 25 )     152808 bits [Y 37.1389 dB    U 40.2016 dB    V 40.7097 dB] [ET  9.76 ] [L0 50 48 44 ] [L1 ]
POC   52 TId: 0 ( P-SLICE, nQP 23 QP 23 )     373792 bits [Y 39.8234 dB    U 41.4138 dB    V 42.0266 dB] [ET 12.88 ] [L0 51 48 44 ] [L1 ]
POC   53 TId: 0 ( P-SLICE, nQP 25 QP 25 )     147216 bits [Y 37.1864 dB    U 40.4943 dB    V 41.0217 dB] [ET  9.61 ] [L0 52 48 44 ] [L1 ]
POC   54 TId: 0 ( P-SLICE, nQP 24 QP 24 )     227104 bits [Y 37.9526 dB    U 40.4034 dB    V 41.0022 dB] [ET 11.03 ] [L0 53 52 48 ] [L1 ]
POC   55 TId: 0 ( P-SLICE, nQP 25 QP 25 )     160096 bits [Y 37.0689 dB    U 40.0545 dB    V 40.5928 dB] [ET  9.82 ] [L0 54 52 48 ] [L1 ]
POC   56 TId: 0 ( P-SLICE, nQP 23 QP 23 )     375976 bits [Y 39.7936 dB    U 41.3797 dB    V 42.0200 dB] [ET 12.99 ] [L0 55 52 48 ] [L1 ]
POC   57 TId: 0 ( P-SLICE, nQP 25 QP 25 )     139472 bits [Y 37.2284 dB    U 40.5490 dB    V 41.1144 dB] [ET  9.40 ] [L0 56 52 48 ] [L1 ]
POC   58 TId: 0 ( P-SLICE, nQP 24 QP 24 )     213656 bits [Y 37.9565 dB    U 40.4932 dB    V 41.0747 dB] [ET 10.67 ] [L0 57 56 52 ] [L1 ]
POC   59 TId: 0 ( P-SLICE, nQP 25 QP 25 )     154080 bits [Y 37.0175 dB    U 40.1320 dB    V 40.6070 dB] [ET  9.62 ] [L0 58 56 52 ] [L1 ]
POC   60 TId: 0 ( P-SLICE, nQP 23 QP 23 )     375024 bits [Y 39.8115 dB    U 41.3547 dB    V 41.9984 dB] [ET 12.81 ] [L0 59 56 52 ] [L1 ]
POC   61 TId: 0 ( P-SLICE, nQP 25 QP 25 )     144888 bits [Y 37.1936 dB    U 40.5251 dB    V 41.0710 dB] [ET  9.36 ] [L0 60 56 52 ] [L1 ]
POC   62 TId: 0 ( P-SLICE, nQP 24 QP 24 )     224728 bits [Y 37.9744 dB    U 40.4823 dB    V 41.0571 dB] [ET 10.70 ] [L0 61 60 56 ] [L1 ]
POC   63 TId: 0 ( P-SLICE, nQP 25 QP 25 )     161248 bits [Y 37.0796 dB    U 40.0869 dB    V 40.5817 dB] [ET  9.73 ] [L0 62 60 56 ] [L1 ]
POC   64 TId: 0 ( P-SLICE, nQP 23 QP 23 )     375984 bits [Y 39.7967 dB    U 41.3640 dB    V 41.9442 dB] [ET 12.84 ] [L0 63 60 56 ] [L1 ]
POC   65 TId: 0 ( P-SLICE, nQP 25 QP 25 )     143120 bits [Y 37.1994 dB    U 40.5229 dB    V 41.0504 dB] [ET  9.41 ] [L0 64 60 56 ] [L1 ]
POC   66 TId: 0 ( P-SLICE, nQP 24 QP 24 )     220056 bits [Y 38.0203 dB    U 40.5166 dB    V 40.9870 dB] [ET 10.81 ] [L0 65 64 60 ] [L1 ]
POC   67 TId: 0 ( P-SLICE, nQP 25 QP 25 )     154936 bits [Y 37.0591 dB    U 39.9863 dB    V 40.4921 dB] [ET  9.74 ] [L0 66 64 60 ] [L1 ]
POC   68 TId: 0 ( P-SLICE, nQP 23 QP 23 )     371600 bits [Y 39.8138 dB    U 41.3875 dB    V 42.0298 dB] [ET 12.87 ] [L0 67 64 60 ] [L1 ]
POC   69 TId: 0 ( P-SLICE, nQP 25 QP 25 )     135488 bits [Y 37.2688 dB    U 40.5395 dB    V 41.1870 dB] [ET  9.47 ] [L0 68 64 60 ] [L1 ]
POC   70 TId: 0 ( P-SLICE, nQP 24 QP 24 )     205368 bits [Y 38.0371 dB    U 40.5263 dB    V 41.1648 dB] [ET 10.70 ] [L0 69 68 64 ] [L1 ]
POC   71 TId: 0 ( P-SLICE, nQP 25 QP 25 )     137224 bits [Y 37.1453 dB    U 40.1380 dB    V 40.8302 dB] [ET  9.57 ] [L0 70 68 64 ] [L1 ]
POC   72 TId: 0 ( P-SLICE, nQP 23 QP 23 )     347312 bits [Y 39.8418 dB    U 41.4216 dB    V 42.1305 dB] [ET 12.66 ] [L0 71 68 64 ] [L1 ]
POC   73 TId: 0 ( P-SLICE, nQP 25 QP 25 )     124792 bits [Y 37.3685 dB    U 40.6266 dB    V 41.3751 dB] [ET  9.35 ] [L0 72 68 64 ] [L1 ]
POC   74 TId: 0 ( P-SLICE, nQP 24 QP 24 )     192896 bits [Y 38.0665 dB    U 40.5664 dB    V 41.2977 dB] [ET 10.60 ] [L0 73 72 68 ] [L1 ]
POC   75 TId: 0 ( P-SLICE, nQP 25 QP 25 )     132264 bits [Y 37.2009 dB    U 40.1877 dB    V 40.9296 dB] [ET  9.49 ] [L0 74 72 68 ] [L1 ]
POC   76 TId: 0 ( P-SLICE, nQP 23 QP 23 )     337592 bits [Y 39.8893 dB    U 41.5142 dB    V 42.2183 dB] [ET 12.65 ] [L0 75 72 68 ] [L1 ]
POC   77 TId: 0 ( P-SLICE, nQP 25 QP 25 )     117176 bits [Y 37.4422 dB    U 40.6836 dB    V 41.4557 dB] [ET  9.24 ] [L0 76 72 68 ] [L1 ]
POC   78 TId: 0 ( P-SLICE, nQP 24 QP 24 )     182672 bits [Y 38.1350 dB    U 40.5956 dB    V 41.3917 dB] [ET 10.49 ] [L0 77 76 72 ] [L1 ]
POC   79 TId: 0 ( P-SLICE, nQP 25 QP 25 )     129968 bits [Y 37.3005 dB    U 40.2448 dB    V 41.0524 dB] [ET  9.45 ] [L0 78 76 72 ] [L1 ]
POC   80 TId: 0 ( P-SLICE, nQP 23 QP 23 )     329680 bits [Y 39.9475 dB    U 41.5114 dB    V 42.2922 dB] [ET 12.63 ] [L0 79 76 72 ] [L1 ]
POC   81 TId: 0 ( P-SLICE, nQP 25 QP 25 )     114104 bits [Y 37.4883 dB    U 40.6833 dB    V 41.4994 dB] [ET  9.11 ] [L0 80 76 72 ] [L1 ]
POC   82 TId: 0 ( P-SLICE, nQP 24 QP 24 )     176512 bits [Y 38.2015 dB    U 40.6392 dB    V 41.5345 dB] [ET 10.38 ] [L0 81 80 76 ] [L1 ]
POC   83 TId: 0 ( P-SLICE, nQP 25 QP 25 )     116296 bits [Y 37.3610 dB    U 40.3521 dB    V 41.1763 dB] [ET  9.13 ] [L0 82 80 76 ] [L1 ]
POC   84 TId: 0 ( P-SLICE, nQP 23 QP 23 )     314880 bits [Y 39.9727 dB    U 41.5990 dB    V 42.2998 dB] [ET 12.42 ] [L0 83 80 76 ] [L1 ]
POC   85 TId: 0 ( P-SLICE, nQP 25 QP 25 )     108296 bits [Y 37.5052 dB    U 40.7338 dB    V 41.4688 dB] [ET  9.02 ] [L0 84 80 76 ] [L1 ]
POC   86 TId: 0 ( P-SLICE, nQP 24 QP 24 )     170072 bits [Y 38.2061 dB    U 40.6636 dB    V 41.5269 dB] [ET 10.24 ] [L0 85 84 80 ] [L1 ]
POC   87 TId: 0 ( P-SLICE, nQP 25 QP 25 )     114424 bits [Y 37.3106 dB    U 40.2553 dB    V 41.1521 dB] [ET  9.12 ] [L0 86 84 80 ] [L1 ]
POC   88 TId: 0 ( P-SLICE, nQP 23 QP 23 )     317152 bits [Y 39.8952 dB    U 41.5649 dB    V 42.3613 dB] [ET 12.41 ] [L0 87 84 80 ] [L1 ]
POC   89 TId: 0 ( P-SLICE, nQP 25 QP 25 )     105704 bits [Y 37.4122 dB    U 40.7724 dB    V 41.6287 dB] [ET  8.84 ] [L0 88 84 80 ] [L1 ]
POC   90 TId: 0 ( P-SLICE, nQP 24 QP 24 )     175840 bits [Y 38.1124 dB    U 40.7398 dB    V 41.5649 dB] [ET 10.22 ] [L0 89 88 84 ] [L1 ]
POC   91 TId: 0 ( P-SLICE, nQP 25 QP 25 )     116328 bits [Y 37.2811 dB    U 40.4378 dB    V 41.2018 dB] [ET  9.07 ] [L0 90 88 84 ] [L1 ]
POC   92 TId: 0 ( P-SLICE, nQP 23 QP 23 )     338424 bits [Y 39.8201 dB    U 41.5774 dB    V 42.2961 dB] [ET 12.55 ] [L0 91 88 84 ] [L1 ]
POC   93 TId: 0 ( P-SLICE, nQP 25 QP 25 )     114232 bits [Y 37.4040 dB    U 40.6557 dB    V 41.4799 dB] [ET  9.05 ] [L0 92 88 84 ] [L1 ]
POC   94 TId: 0 ( P-SLICE, nQP 24 QP 24 )     183144 bits [Y 38.0590 dB    U 40.6335 dB    V 41.4595 dB] [ET 10.26 ] [L0 93 92 88 ] [L1 ]
POC   95 TId: 0 ( P-SLICE, nQP 25 QP 25 )     134224 bits [Y 37.2039 dB    U 40.2732 dB    V 41.0326 dB] [ET  9.24 ] [L0 94 92 88 ] [L1 ]
POC   96 TId: 0 ( P-SLICE, nQP 23 QP 23 )     345768 bits [Y 39.7834 dB    U 41.5468 dB    V 42.1910 dB] [ET 12.46 ] [L0 95 92 88 ] [L1 ]
POC   97 TId: 0 ( P-SLICE, nQP 25 QP 25 )     133560 bits [Y 37.2885 dB    U 40.5672 dB    V 41.2574 dB] [ET  9.23 ] [L0 96 92 88 ] [L1 ]
POC   98 TId: 0 ( P-SLICE, nQP 24 QP 24 )     205160 bits [Y 38.0171 dB    U 40.5743 dB    V 41.2306 dB] [ET 10.40 ] [L0 97 96 92 ] [L1 ]
POC   99 TId: 0 ( P-SLICE, nQP 25 QP 25 )     145688 bits [Y 37.1344 dB    U 40.1717 dB    V 40.7691 dB] [ET  9.20 ] [L0 98 96 92 ] [L1 ]
POC  100 TId: 0 ( P-SLICE, nQP 23 QP 23 )     356848 bits [Y 39.7458 dB    U 41.5252 dB    V 42.1305 dB] [ET 12.66 ] [L0 99 96 92 ] [L1 ]
POC  101 TId: 0 ( P-SLICE, nQP 25 QP 25 )     137040 bits [Y 37.2865 dB    U 40.6059 dB    V 41.1782 dB] [ET  9.02 ] [L0 100 96 92 ] [L1 ]
POC  102 TId: 0 ( P-SLICE, nQP 24 QP 24 )     207512 bits [Y 37.9813 dB    U 40.5899 dB    V 41.1738 dB] [ET 10.31 ] [L0 101 100 96 ] [L1 ]
POC  103 TId: 0 ( P-SLICE, nQP 25 QP 25 )     155056 bits [Y 37.1713 dB    U 40.2561 dB    V 40.8116 dB] [ET  9.31 ] [L0 102 100 96 ] [L1 ]
POC  104 TId: 0 ( P-SLICE, nQP 23 QP 23 )     363624 bits [Y 39.7451 dB    U 41.4428 dB    V 42.0936 dB] [ET 12.56 ] [L0 103 100 96 ] [L1 ]
POC  105 TId: 0 ( P-SLICE, nQP 25 QP 25 )     143336 bits [Y 37.2956 dB    U 40.5703 dB    V 41.1781 dB] [ET  9.02 ] [L0 104 100 96 ] [L1 ]
POC  106 TId: 0 ( P-SLICE, nQP 24 QP 24 )     204624 bits [Y 37.9972 dB    U 40.5475 dB    V 41.2052 dB] [ET 10.23 ] [L0 105 104 100 ] [L1 ]
POC  107 TId: 0 ( P-SLICE, nQP 25 QP 25 )     149168 bits [Y 37.1665 dB    U 40.2959 dB    V 40.8657 dB] [ET  9.20 ] [L0 106 104 100 ] [L1 ]
POC  108 TId: 0 ( P-SLICE, nQP 23 QP 23 )     353104 bits [Y 39.7639 dB    U 41.4381 dB    V 42.0432 dB] [ET 12.50 ] [L0 107 104 100 ] [L1 ]
POC  109 TId: 0 ( P-SLICE, nQP 25 QP 25 )     136216 bits [Y 37.2880 dB    U 40.6117 dB    V 41.2186 dB] [ET  8.90 ] [L0 108 104 100 ] [L1 ]
POC  110 TId: 0 ( P-SLICE, nQP 24 QP 24 )     204024 bits [Y 38.0358 dB    U 40.5308 dB    V 41.1978 dB] [ET 10.20 ] [L0 109 108 104 ] [L1 ]
POC  111 TId: 0 ( P-SLICE, nQP 25 QP 25 )     146520 bits [Y 37.1812 dB    U 40.2685 dB    V 40.9136 dB] [ET  9.17 ] [L0 110 108 104 ] [L1 ]
